#Life 1.06
#N Glider gun
#R B3/S23
#S 100/31
0 4
1 5
1 6
3 5
4 4
4 5
5 2
5 3
5 5
5 6
6 0
6 1
6 2
6 6
6 7
7 1
7 6
7 7
7 8
8 1
8 6
8 7
8 8
9 3
9 4
10 0
10 1
10 4
10 6
11 2
11 5
11 7
11 8
12 0
12 2
12 4
12 5
12 6
12 9
13 0
13 2
13 5
13 6
14 1
14 7
14 8
14 9
15 7
15 8
16 3
16 4
16 5
17 2
17 3
17 6
18 2
19 4
19 6
20 6
20 11
20 12
20 13
21 4
21 5
21 7
21 8
21 9
21 10
22 6
22 7
22 8
22 9
22 14
23 10
24 12
25 6
25 7
25 8
25 9
25 10
25 12
26 6
26 7
26 8
26 10
26 11
26 12
27 6
27 11
28 7
28 8
28 9
28 10
28 11
29 10
30 6
30 8
30 9
31 9
32 3
32 7
32 8
33 1
33 4
33 7
33 8
33 9
33 10
34 1
34 2
34 6
34 10
34 11
35 1
35 2
35 3
35 5
35 12
36 6
36 7
36 11
37 3
37 7
37 11
38 2
38 4
38 8
38 10
39 2
39 9
39 10
39 11
40 4
40 5
41 5
41 6
41 7
41 8
41 9
42 9
42 10
43 6
43 7
43 10
44 11
45 6
45 7
45 12
45 13
45 14
45 15
45 17
46 6
46 7
46 12
46 14
46 15
46 16
46 17
47 9
47 10
47 11
47 13
47 14
47 19
48 13
48 16
48 20
49 13
49 15
49 16
49 17
49 19
50 12
50 15
50 16
50 17
51 13
51 14
52 16
52 17
52 18
53 8
53 9
53 10
53 11
53 12
53 18
54 8
54 15
54 19
55 9
55 19
57 10
57 11
57 12
57 19
58 11
58 13
58 15
58 16
59 11
59 15
59 17
59 19
60 11
60 18
60 19
60 20
61 13
61 15
61 17
61 20
62 14
62 15
62 18
62 20
63 12
63 15
63 19
63 20
64 12
64 14
64 15
64 16
64 18
64 19
65 12
65 19
65 20
66 14
66 15
66 17
67 14
67 19
67 27
67 28
68 15
68 18
68 19
68 22
68 23
68 24
69 25
69 29
70 19
70 20
70 30
71 15
71 19
71 20
71 25
71 26
71 27
71 28
72 15
72 16
72 17
72 24
72 29
73 17
73 18
73 19
73 20
73 25
73 26
73 28
74 17
74 18
74 19
74 20
74 27
74 28
75 22
75 23
75 24
76 22
76 26
77 23
77 26
78 25
78 26
